Row ID,Order ID,Order Date,Ship Date,Month ,Season,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Quantity,Sub-Category,Product Name,Net Sales
1,99719095,11/23/2016,11/25/2016,November,Summer,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,33,Bookcases,Bush Somerset Collection Bookcase,261.96
2,25092659,7/14/2018,7/16/2018,July,Fall,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,8,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
3,23897948,9/25/2016,9/27/2016,September,Spring,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,21,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62
4,80932185,9/20/2017,9/22/2017,September,Fall,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,18,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775
5,39263140,4/21/2019,4/23/2019,April,Fall,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,34,Storage,Eldon Fold 'N Roll Cart System,22.368
6,87872231,4/7/2017,4/9/2017,April,Fall,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,16,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
7,68175342,10/2/2019,10/4/2019,October,Spring,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,15,Art,Newell 322,7.28
8,55934752,9/26/2019,9/28/2019,September,Spring,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,21,Phones,Mitel 5320 IP Phone VoIP phone,907.152
9,79257698,10/31/2016,11/2/2016,November,Fall,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,17,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504
10,63132817,3/23/2017,3/25/2017,March,Fall,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,11,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9
11,60239342,4/4/2019,4/6/2019,April,Fall,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,35,Tables,Chromcraft Rectangular Conference Tables,1706.184
12,21253664,12/27/2016,12/29/2016,December,Summer,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,43,Phones,Konftel 250 Conference phone - Charcoal black,911.424
13,74974679,12/10/2019,12/12/2019,December,Spring,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,9,Paper,Xerox 1967,15.552
14,48963088,12/4/2016,12/6/2016,December,Summer,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,35,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976
15,98545484,12/17/2017,12/19/2017,December,Spring,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,49,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
16,67794979,7/5/2018,7/7/2018,July,Spring,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,23,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544
17,90158917,11/19/2017,11/21/2017,November,Spring,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,26,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
18,39856999,1/26/2016,1/28/2016,January,Spring,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,37,Storage,Fellowes Super Stor/Drawer,55.5
19,98245126,8/3/2018,8/5/2018,August,Fall,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,9,Art,Newell 341,8.56
20,16348906,2/20/2017,2/22/2017,February,Fall,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,22,Phones,Cisco SPA 501G IP Phone,213.48
21,54213710,6/6/2016,6/8/2016,June,Fall,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,11,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72
22,71860958,3/11/2018,3/13/2018,March,Spring,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,3,Art,Newell 318,19.46
23,86151636,10/5/2016,10/7/2016,October,Spring,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,35,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
24,16317744,7/26/2018,7/28/2018,July,Summer,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,36,Chairs,"Global Deluxe Stacking Chair, Gray",71.372
25,46490326,7/22/2017,7/24/2017,July,Summer,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,42,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63
26,16186695,3/20/2016,3/22/2016,March,Fall,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,46,Binders,Wilson Jones Active Use Binders,11.648
27,88910736,10/22/2018,10/24/2018,October,Fall,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,6,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57
28,36579512,1/10/2019,1/12/2019,January,Summer,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,27,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
29,24508303,7/4/2018,7/6/2018,July,Fall,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,30,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618
30,46058579,8/26/2018,8/28/2018,August,Spring,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,17,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
31,32445851,12/11/2018,12/13/2018,December,Spring,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,2,Envelopes,Poly String Tie Envelopes,3.264
32,12111961,5/26/2017,5/28/2017,May,Fall,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,2,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
33,82740149,1/11/2017,1/13/2017,January,Spring,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,44,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
